,Base,Us
Korea_grip,0.687396136425884,0.5610891291546907
Dutch_drinking_inh,0.6248749733376489,0.5017891045104355
Dutch_drinking_wm,0.7118518150012696,0.5403500252451227
Dutch_drinking_sha,0.6382151337662664,0.46066022820281055
Brazil_health_heart,0.8111927937559168,0.0431999059674707
Brazil_health_stroke,2.0657206787799507,0.0632875865199013
China_glucose_women2,0.9480606330693356,1.1157877458960583
China_glucose_men2,0.9172102333502798,0.9381940213220773
Spain_Hair,1.126904883922579,1.6519042852846404
China_HIV,0.8869396987104445,0.7382016223822143
